GroundTruth,Predictions
0.0,0.15972005
0.33372,0.9836508
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.0,0.27675626
0.0,0.0029959094
0.0,0.0029959094
0.55728,1.4302773
0.389879999999999,0.08249386
0.0,-0.062992916
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.0,1.4913973
0.0,1.3174589
0.0,0.0029959094
2.81772,0.66819423
0.0,0.0029959094
1.683828,1.738121
0.0,0.7647716
2.49804,0.7465157
0.0,0.0029959094
0.0,0.0029959094
1.103868,1.0671189
0.0,0.0029959094
0.0,0.4865851
2.23776,1.5504375
0.0,0.65761846
1.21284,2.094831
0.0,0.44419488
0.0,0.0029959094
0.0,0.0029959094
0.0,0.25630108
1.7064,0.81865364
0.0,0.0029959094
0.0,-0.013935936
0.946836,1.6256176
0.0,0.0029959094
0.17334,1.2719133
0.0,0.0029959094
0.0,0.0029959094
3.58452,0.9230611
0.0,-0.17703672
0.0,0.0029959094
0.0,0.0029959094
0.0,-0.013935936
0.0,1.2064936
0.0,0.0029959094
0.0,0.0029959094
1.55196,1.85688
0.0,0.4021046
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
1.4688,0.8974349
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.84672,1.1264591
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.0,0.32561466
0.0,0.0029959094
0.0,0.15702304
0.0,0.1765573
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.34344,1.438465
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.88452,0.10282563
0.0,0.0029959094
0.0,0.0029959094
0.0,0.014230531
0.0,0.0029959094
0.0,0.0029959094
0.0,0.055903688
0.0,0.0029959094
0.0,0.0029959094
0.0,0.004792736
0.0,0.0029959094
3.79296,1.6895988
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.73656,0.50255275
0.0,0.0029959094
2.21076,1.7975831
0.0,0.0029959094
0.0,0.0029959094
11.40264,1.9294568
0.0,1.2862525
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.0,0.06729856
0.0,0.0029959094
0.0,0.0029959094
0.0,1.137776
2.29284,1.1763741
0.0,0.0029959094
0.0,0.0029959094
0.0,-0.016572736
0.0,0.4296488
0.0,0.0029959094
5.2326,2.0586123
0.0,0.0029959094
0.0,0.0029959094
0.0,-0.013935936
0.0,0.0029959094
1.0719,1.4795449
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.0,0.08120322
0.27108,1.0444838
0.0,0.0029959094
0.00216000000000005,0.68329406
0.43092,0.7531822
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.933336,0.74036884
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
1.84032,1.5534654
0.0,0.0029959094
0.0,1.3778036
0.0,0.0029959094
0.0,0.29074273
0.0,0.0029959094
0.852336,1.0482224
0.0,0.0029959094
0.0194399999999998,1.0863048
0.0,0.7966822
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
0.0,0.0029959094
1.821528,1.506805
0.0,0.0029959094
1.3122,1.66108
0.68256,1.4771442
0.0,0.0029959094
0.45576,1.2507837
0.0,0.0029959094
1.15236,0.78172195
0.0,0.0029959094
0.0,0.18563378
0.0,0.0029959094
0.0,0.03671451
0.0,0.0029959094
0.0,0.075495675
3.73896,1.6409165
0.0,0.0029959094
0.0,0.0029959094
0.7398,0.7616039
0.0961200000000001,1.3563354
0.0,-0.00021641319
1.67076,1.6128743
3.04344,1.3078681
0.0,0.0029959094
0.0,0.24176595
0.0,0.0029959094
0.0,0.0029959094
0.702000000000001,0.9916502
0.0,0.0029959094
0.0,0.0029959094
0.0,0.112584144
0.0,0.0029959094
0.0,0.0634492
0.0,-0.0033363227
0.0,0.002123172
0.0,-0.016572736
0.0,0.0029959094
2.268,0.95466596
0.0,-0.016572736
